,Area,Perimeter,Convexity,Circularity,X_start,Y_start,Width,Height,Segmented_label
0,139.5,51.213202714920044,False,0.6683750035321376,58,122,9,23,0
1,4597.5,323.9482650756836,False,0.5505291065666527,53,84,87,94,0
2,1320.0,147.68123948574066,False,0.7605593991128489,54,98,37,57,0
3,1532.5,165.5807353258133,False,0.7024100768572583,53,94,38,65,0
4,1684.5,184.0660139322281,False,0.6247894166018717,53,90,41,74,0
5,2048.5,204.5512968301773,False,0.6152354588125679,52,89,48,80,0
6,2838.5,232.83556830883026,False,0.6579609417526543,49,89,61,86,0
7,3419.5,260.14927566051483,False,0.6349320210225297,48,86,66,91,0
8,4208.0,279.90663480758667,False,0.6749307408592393,49,82,72,92,0
9,5055.5,291.806129693985,False,0.7460795871980608,49,84,80,89,0
10,5599.5,310.6345558166504,False,0.729221694773332,49,74,81,96,0
11,5517.0,306.0487701892853,False,0.7401701567436586,50,76,91,88,0
12,5116.5,308.9777019023895,False,0.6734859888513207,54,86,85,93,0
13,5327.0,292.9360729455948,False,0.7800938434720056,53,78,93,80,0
14,5206.0,296.24977934360504,False,0.745414706310191,56,80,103,73,0
15,4051.5,268.3502861261368,False,0.7070035295128608,60,83,95,63,0
16,2311.5,210.89444208145142,False,0.6530906900396601,66,87,69,54,0
17,730.5,105.15432822704315,False,0.8301867120140821,73,101,33,32,0
18,200.5,69.35533821582794,False,0.5237987444737395,51,112,16,28,0
19,346.0,84.76955187320709,False,0.6050707906744114,51,112,16,36,0
20,692.0,114.08326005935669,False,0.6681471375919941,51,107,21,47,0
21,1303.0,176.85281205177307,False,0.5235164591870868,51,90,41,67,0
22,1378.5,174.26702570915222,False,0.5704087731306283,51,93,38,66,0
23,5252.5,298.83556747436523,False,0.7391138713813071,54,87,87,90,0
24,1539.0,194.16652083396912,False,0.5129792358300359,50,94,48,66,0
25,1713.5,217.37972366809845,False,0.45567574059656935,50,94,55,68,0
26,1770.5,225.865003824234,False,0.4361219091135831,50,97,65,63,0
27,2259.0,261.4213539361954,False,0.4153784637165939,51,92,75,68,0
28,2367.5,268.1492757797241,False,0.41375818201836806,49,91,77,72,0
29,2687.5,236.55129742622375,False,0.6035422369141074,49,93,68,70,0
30,752.5,135.49747359752655,False,0.5150554333046515,113,93,57,19,0
31,5006.0,352.67618775367737,False,0.5057646064234029,48,91,123,86,0
32,4749.5,357.1198377609253,False,0.46798270652865287,49,92,123,89,0
33,5714.5,381.0609619617462,False,0.4945374465767383,50,91,126,93,0
34,5327.5,308.9777030944824,False,0.7012599585496154,55,88,92,88,0
35,6610.5,363.9482647180557,False,0.6271405283198612,51,91,126,94,0
36,6484.5,355.94826543331146,False,0.6431504780226994,51,92,123,93,0
37,6291.0,349.36247885227203,False,0.6477046700693786,52,93,120,93,0
38,6131.0,346.8771963119507,False,0.6403091082092126,51,96,120,88,0
39,5635.0,323.2203435897827,False,0.6778075611517244,52,98,112,84,0
40,4279.0,267.90663480758667,False,0.7491783389475176,52,96,87,79,0
41,3052.0,250.45079112052917,False,0.6114339897157699,58,96,73,75,0
42,1889.0,181.33809351921082,False,0.7218778745163752,59,103,54,57,0
43,718.0,105.05382323265076,False,0.8175429608788886,68,115,32,36,0
44,107.0,40.97056221961975,False,0.8010318684080444,55,130,9,17,0
45,4914.0,310.93607211112976,False,0.6387086532882716,57,92,102,79,0
46,347.5,72.18376588821411,False,0.8380802403542773,52,126,18,28,0
47,598.5,97.154327750206,False,0.7968007177801228,50,122,25,36,0
48,696.0,106.91168820858002,False,0.7651890187345626,53,118,25,40,0
49,905.5,121.6396096944809,False,0.7690388551286892,49,115,31,44,0
50,1321.5,155.78174364566803,False,0.6842958566974063,47,106,35,61,0
51,1529.0,199.48022854328156,False,0.48285600317742605,52,96,36,80,0
52,1849.0,229.13708245754242,False,0.44254355178668653,51,88,39,87,0
53,2241.5,236.35028505325317,False,0.504238899616807,51,95,52,87,0
54,2944.5,266.14927554130554,False,0.5223611218955374,49,92,58,94,0
55,5463.0,324.5340530872345,False,0.6518092467052555,47,86,81,98,0
56,2793.5,207.23758780956268,False,0.817375248816282,59,101,58,66,0
57,6045.0,327.90663385391235,False,0.7064895840900003,46,86,86,97,0
58,6026.0,329.9066352844238,False,0.695755888252088,46,90,89,91,0
59,6239.5,340.2914100885391,False,0.6771075872033636,48,92,102,89,0
60,6023.5,342.0904016494751,False,0.6468104097299369,49,94,101,86,0
61,5494.5,329.4629828929901,False,0.6360991122770904,49,94,111,75,0
